pressure dependence,,reaction_id
press_indep,0,[H][H]_m1.[O]_m3>>[H]_m2.[OH]_m2
press_indep,1,[H][H]_m1.[OH]_m2>>[H]_m2.O_m1
press_indep,2,[O][O]_m3.[H]_m2>>[O]_m3.[OH]_m2
press_indep,3,[O]_m3.O_m1>>[OH]_m2.[OH]_m2
press_indep,4,OO_m1.[H]_m2>>O_m1.[OH]_m2
press_indep,5,OO_m1.[H]_m2>>[H][H]_m1.O[O]_m2
press_indep,6,OO_m1.[O]_m3>>[OH]_m2.O[O]_m2
press_indep,7,OO_m1.[OH]_m2>>O_m1.O[O]_m2
press_indep,8,OO_m1.[OH]_m2>>O_m1.O[O]_m2
press_indep,9,O[O]_m2.[H]_m2>>[OH]_m2.[OH]_m2
press_indep,10,O[O]_m2.[H]_m2>>[H][H]_m1.[O][O]_m3
press_indep,11,O[O]_m2.[O]_m3>>[OH]_m2.[O][O]_m3
press_indep,12,[OH]_m2.O[O]_m2>>O_m1.[O][O]_m3
press_indep,13,[OH]_m2.O[O]_m2>>O_m1.[O][O]_m3
press_indep,14,O[O]_m2.O[O]_m2>>OO_m1.[O][O]_m3
press_indep,15,O[O]_m2.O[O]_m2>>OO_m1.[O][O]_m3
press_indep,16,[C]=O_m3.[OH]_m2>>O=C=O_m1.[H]_m2
press_indep,17,[C]=O_m3.[OH]_m2>>O=C=O_m1.[H]_m2
press_indep,18,[C]=O_m3.O[O]_m2>>O=C=O_m1.[OH]_m2
press_indep,19,[C]=O_m3.[O][O]_m3>>O=C=O_m1.[O]_m3
press_indep,20,[H]_m2.O=C=O_m1>>[O]C=O_m2
press_indep,21,O[C]=O_m2>>[C]=O_m3.[OH]_m2
press_indep,22,O[C]=O_m2>>O=C=O_m1.[H]_m2
press_indep,23,C_m1.[H]_m2>>[CH3]_m2.[H][H]_m1
press_indep,24,C_m1.[O]_m3>>[CH3]_m2.[OH]_m2
press_indep,25,C_m1.[OH]_m2>>[CH3]_m2.O_m1
press_indep,26,C_m1.O[O]_m2>>[CH3]_m2.OO_m1
press_indep,27,C_m1.CO[O]_m2>>[CH3]_m2.COO_m1
press_indep,28,[CH3]_m2.O[O]_m2>>C_m1.[O][O]_m3
press_indep,29,C_m1.[CH2]_m3>>[CH3]_m2.[CH3]_m2
press_indep,30,[CH2]_m1.N#N_m1>>[CH2]_m3.N#N_m1
press_indep,31,[CH2]_m1.[Ar]_m1>>[CH2]_m3.[Ar]_m1
press_indep,32,[CH2]_m1.O_m1>>[CH2]_m3.O_m1
press_indep,33,[CH2]_m1.[C]=O_m3>>[CH2]_m3.[C]=O_m3
press_indep,34,[CH2]_m1.O=C=O_m1>>[CH2]_m3.O=C=O_m1
press_indep,35,[CH2]_m1.[O][O]_m3>>[H]_m2.[OH]_m2.[C]=O_m3
press_indep,36,[CH2]_m1.[O][O]_m3>>[C]=O_m3.O_m1
press_indep,37,[CH2]_m1.[O]_m3>>[C]=O_m3.[H][H]_m1
press_indep,38,[CH2]_m1.[O]_m3>>[CH]=O_m2.[H]_m2
press_indep,39,[CH2]_m1.[H][H]_m1>>[CH3]_m2.[H]_m2
press_indep,40,[CH2]_m1.[H]_m2>>[CH]_m4.[H][H]_m1
press_indep,41,[CH2]_m1.[OH]_m2>>C=O_m1.[H]_m2
press_indep,42,[CH2]_m1.O=C=O_m1>>C=O_m1.[C]=O_m3
press_indep,43,[CH2]_m3.[O][O]_m3>>[CH]=O_m2.[OH]_m2
press_indep,44,[CH2]_m3.[O][O]_m3>>O=C=O_m1.[H]_m2.[H]_m2
press_indep,45,[CH2]_m3.[O]_m3>>[C]=O_m3.[H]_m2.[H]_m2
press_indep,46,[CH2]_m3.[H]_m2>>[CH]_m4.[H][H]_m1
press_indep,47,[CH2]_m3.[OH]_m2>>[CH]_m4.O_m1
press_indep,48,[CH]_m4.[O][O]_m3>>[CH]=O_m2.[O]_m3
press_indep,49,[CH]_m4.[O]_m3>>[C]=O_m3.[H]_m2
press_indep,50,[CH]_m4.[H]_m2>>[C]_m5.[H][H]_m1
press_indep,51,[CH]_m4.[OH]_m2>>[CH]=O_m2.[H]_m2
press_indep,52,[CH]_m4.O_m1>>[H]_m2.C=O_m1
press_indep,53,[CH]_m4.O=C=O_m1>>[CH]=O_m2.[C]=O_m3
press_indep,54,[C]_m5.[OH]_m2>>[C]=O_m3.[H]_m2
press_indep,55,[C]_m5.[O][O]_m3>>[C]=O_m3.[O]_m3
press_indep,56,[CH3]_m2.[O][O]_m3>>C[O]_m2.[O]_m3
press_indep,57,[CH3]_m2.[O][O]_m3>>C=O_m1.[OH]_m2
press_indep,58,[CH3]_m2.[O]_m3>>C=O_m1.[H]_m2
press_indep,59,[CH3]_m2.[OH]_m2>>[CH2]_m1.O_m1
press_indep,60,[CH3]_m2.[OH]_m2>>C=O_m1.[H][H]_m1
press_indep,61,[CH3]_m2.[OH]_m2>>[CH2]O_m2.[H]_m2
press_indep,62,[CH3]_m2.[OH]_m2>>[H]_m2.C[O]_m2
press_indep,63,[CH3]_m2.[OH]_m2>>[CH]O_m3.[H][H]_m1
press_indep,64,[CH3]_m2.[OH]_m2>>[CH2]_m3.O_m1
press_indep,65,[CH3]_m2.O[O]_m2>>C[O]_m2.[OH]_m2
press_indep,66,CO[O]_m2.[O]_m3>>C[O]_m2.[O][O]_m3
press_indep,67,CO[O]_m2.[H]_m2>>C[O]_m2.[OH]_m2
press_indep,68,CO[O]_m2.[OH]_m2>>CO_m1.[O][O]_m3
press_indep,69,CO[O]_m2.O[O]_m2>>COO_m1.[O][O]_m3
press_indep,70,CO[O]_m2.OO_m1>>COO_m1.O[O]_m2
press_indep,71,CO[O]_m2.[CH3]_m2>>C[O]_m2.C[O]_m2
press_indep,72,CO[O]_m2.CO[O]_m2>>C=O_m1.CO_m1.[O][O]_m3
press_indep,73,CO[O]_m2.CO[O]_m2>>[O][O]_m3.C[O]_m2.C[O]_m2
press_indep,74,[H][H]_m1.CO[O]_m2>>[H]_m2.COO_m1
press_indep,75,COO_m1>>C[O]_m2.[OH]_m2
press_indep,76,[CH2]OO_m2>>C=O_m1.[OH]_m2
press_indep,77,CO_m1.[H]_m2>>C[O]_m2.[H][H]_m1
press_indep,78,CO_m1.[H]_m2>>[CH2]O_m2.[H][H]_m1
press_indep,79,CO_m1.[O]_m3>>C[O]_m2.[OH]_m2
press_indep,80,CO_m1.[O]_m3>>[CH2]O_m2.[OH]_m2
press_indep,81,CO_m1.[OH]_m2>>C[O]_m2.O_m1
press_indep,82,CO_m1.[OH]_m2>>[CH2]O_m2.O_m1
press_indep,83,CO_m1.[O][O]_m3>>C[O]_m2.O[O]_m2
press_indep,84,CO_m1.[O][O]_m3>>[CH2]O_m2.O[O]_m2
press_indep,85,CO_m1.O[O]_m2>>C[O]_m2.OO_m1
press_indep,86,CO_m1.O[O]_m2>>[CH2]O_m2.OO_m1
press_indep,87,CO_m1.[CH3]_m2>>[CH2]O_m2.C_m1
press_indep,88,CO_m1.[CH3]_m2>>C[O]_m2.C_m1
press_indep,89,CO_m1.[CH]=O_m2>>[CH2]O_m2.C=O_m1
press_indep,90,CO_m1.C[O]_m2>>[CH2]O_m2.CO_m1
press_indep,91,CO_m1.CO[O]_m2>>[CH2]O_m2.COO_m1
press_indep,92,[CH2]O_m2.[O][O]_m3>>C=O_m1.O[O]_m2
press_indep,93,[CH2]O_m2.[O][O]_m3>>C=O_m1.O[O]_m2
press_indep,94,[CH2]O_m2.[H]_m2>>C=O_m1.[H][H]_m1
press_indep,95,[CH2]O_m2.O[O]_m2>>C=O_m1.OO_m1
press_indep,96,[CH2]O_m2.[CH]=O_m2>>C=O_m1.C=O_m1
press_indep,97,[CH2]O_m2.[CH]=O_m2>>CO_m1.[C]=O_m3
press_indep,98,[CH2]O_m2.C[O]_m2>>C=O_m1.CO_m1
press_indep,99,[CH2]O_m2.[OH]_m2>>O_m1.C=O_m1
press_indep,100,[CH2]O_m2.[O]_m3>>[OH]_m2.C=O_m1
press_indep,101,[CH2]O_m2.[CH2]O_m2>>C=O_m1.CO_m1
press_indep,102,[CH2]O_m2.O[O]_m2>>OC[O]_m2.[OH]_m2
press_indep,103,C[O]_m2.[O][O]_m3>>C=O_m1.O[O]_m2
press_indep,104,C[O]_m2.[H]_m2>>C=O_m1.[H][H]_m1
press_indep,105,C[O]_m2.O[O]_m2>>C=O_m1.OO_m1
press_indep,106,C[O]_m2.[CH3]_m2>>C=O_m1.C_m1
press_indep,107,C[O]_m2.C[O]_m2>>CO_m1.C=O_m1
press_indep,108,[CH]O_m3.[O][O]_m3>>O=C=O_m1.[H]_m2.[OH]_m2
press_indep,109,[CH]O_m3.[O][O]_m3>>O=C=O_m1.O_m1
press_indep,110,[CH]O_m3.[O]_m3>>O=C=O_m1.[H]_m2.[H]_m2
press_indep,111,[CH]O_m3.[O]_m3>>[C]=O_m3.[OH]_m2.[H]_m2
press_indep,112,[CH]O_m3.[H]_m2>>C=O_m1.[H]_m2
press_indep,113,[CH]O_m3.[OH]_m2>>[CH]=O_m2.O_m1
press_indep,114,C=O_m1.[O][O]_m3>>[CH]=O_m2.O[O]_m2
press_indep,115,C=O_m1.[O]_m3>>[CH]=O_m2.[OH]_m2
press_indep,116,C=O_m1.[H]_m2>>[CH]=O_m2.[H][H]_m1
press_indep,117,C=O_m1.[OH]_m2>>[CH]=O_m2.O_m1
press_indep,118,C=O_m1.O[O]_m2>>[CH]=O_m2.OO_m1
press_indep,119,C=O_m1.[CH3]_m2>>[CH]=O_m2.C_m1
press_indep,120,C=O_m1.[O]OC=O_m2>>[CH]=O_m2.OOC=O_m1
press_indep,121,C=O_m1.[O]C=O_m2>>[CH]=O_m2.OC=O_m1
press_indep,122,C=O_m1.C[O]_m2>>[CH]=O_m2.CO_m1
press_indep,123,C=O_m1.CO[O]_m2>>[CH]=O_m2.COO_m1
press_indep,124,[CH]=O_m2.[O][O]_m3>>[C]=O_m3.O[O]_m2
press_indep,125,[CH]=O_m2.[O]_m3>>[C]=O_m3.[OH]_m2
press_indep,126,[CH]=O_m2.[H]_m2>>[C]=O_m3.[H][H]_m1
press_indep,127,[CH]=O_m2.[OH]_m2>>[C]=O_m3.O_m1
press_indep,128,[CH]=O_m2.[CH3]_m2>>C_m1.[C]=O_m3
press_indep,129,[CH]=O_m2.[CH]=O_m2>>C=O_m1.[C]=O_m3
press_indep,130,[CH]=O_m2.[O]_m3>>O=C=O_m1.[H]_m2
press_indep,131,[CH]=O_m2.O[O]_m2>>O=C=O_m1.[H]_m2.[OH]_m2
press_indep,132,[CH]=O_m2.[CH]=O_m2>>[H][H]_m1.[C]=O_m3.[C]=O_m3
press_indep,133,C=O_m1.[OH]_m2>>OC[O]_m2
press_indep,134,OC[O]_m2>>OC=O_m1.[H]_m2
press_indep,135,C=O_m1.O[O]_m2>>OOC[O]_m2
press_indep,136,OOC[O]_m2>>[O]OCO_m2
press_indep,137,[O]OCO_m2.O[O]_m2>>OOCO_m1.[O][O]_m3
press_indep,138,OC[O]_m2.[OH]_m2>>OOCO_m1
press_indep,139,[CH]=O_m2.[O][O]_m3>>[O]OC=O_m2
press_indep,140,OC=O_m1>>[C]=O_m3.O_m1
press_indep,141,OC=O_m1>>O=C=O_m1.[H][H]_m1
press_indep,142,[O]C=O_m2.O[O]_m2>>OC=O_m1.[O][O]_m3
press_indep,143,[O]C=O_m2.OO_m1>>OC=O_m1.O[O]_m2
press_indep,144,OC=O_m1.[H]_m2>>[H][H]_m1.O=C=O_m1.[H]_m2
press_indep,145,OC=O_m1.[H]_m2>>[H][H]_m1.[C]=O_m3.[OH]_m2
press_indep,146,OC=O_m1.[O]_m3>>[C]=O_m3.[OH]_m2.[OH]_m2
press_indep,147,OC=O_m1.[OH]_m2>>O_m1.O=C=O_m1.[H]_m2
press_indep,148,OC=O_m1.[OH]_m2>>O_m1.[C]=O_m3.[OH]_m2
press_indep,149,OC=O_m1.[CH3]_m2>>C_m1.[C]=O_m3.[OH]_m2
press_indep,150,OC=O_m1.O[O]_m2>>OO_m1.[C]=O_m3.[OH]_m2
press_indep,151,[O]C=O_m2.[OH]_m2>>OOC=O_m1
press_indep,152,CC_m1.[O][O]_m3>>C[CH2]_m2.O[O]_m2
press_indep,153,CC_m1.[O]_m3>>C[CH2]_m2.[OH]_m2
press_indep,154,CC_m1.[H]_m2>>C[CH2]_m2.[H][H]_m1
press_indep,155,CC_m1.[OH]_m2>>C[CH2]_m2.O_m1
press_indep,156,CC_m1.O[O]_m2>>C[CH2]_m2.OO_m1
press_indep,157,CC_m1.[CH]_m4>>C[CH2]_m2.[CH2]_m3
press_indep,158,CC_m1.[CH2]_m1>>C[CH2]_m2.[CH3]_m2
press_indep,159,CC_m1.[CH3]_m2>>C[CH2]_m2.C_m1
press_indep,160,CC_m1.C[O]_m2>>C[CH2]_m2.CO_m1
press_indep,161,CC_m1.CO[O]_m2>>C[CH2]_m2.COO_m1
press_indep,162,CC_m1.CCO[O]_m2>>C[CH2]_m2.CCOO_m1
press_indep,163,C[CH2]_m2.[H]_m2>>C=C_m1.[H][H]_m1
press_indep,164,C=C_m1.C=C_m1>>C[CH2]_m2.C=[CH]_m2
press_indep,165,C[CH2]_m2.[CH3]_m2>>C_m1.C=C_m1
press_indep,166,C[CH2]_m2.[O]_m3>>CC=O_m1.[H]_m2
press_indep,167,C[CH2]_m2.O[O]_m2>>CC[O]_m2.[OH]_m2
press_indep,168,C[CH2]_m2.CO[O]_m2>>CC[O]_m2.C[O]_m2
press_indep,169,[CH3]_m2.[CH3]_m2>>[H]_m2.C[CH2]_m2
press_indep,170,C[CH2]_m2.[O][O]_m3>>CCO[O]_m2
press_indep,171,C[CH2]_m2.[O][O]_m3>>[CH2]COO_m2
press_indep,172,C[CH2]_m2.[O][O]_m3>>C=C_m1.O[O]_m2
