species,species_id
Ne,[Ne]_m1
methane(1),C_m1
ethane(2),CC_m1
propane(3),CCC_m1
O2(4),[O][O]_m3
CH3OH(5),CO_m1
CH(6),[CH]_m2
CH2(T)(7),[CH2]_m3
CH2(S)(8),[CH2]_m1
HO2(16),[O]O_m2
C3H7(38),C[CH]C_m2
CH3(22),[CH3]_m2
C2H5(33),C[CH2]_m2
CH3O2(47),CO[O]_m2
H(9),[H]_m2
C3H7O2(45),CC(C)O[O]_m2
C2H5O2(56),CCO[O]_m2
C2H4(32),C=C_m1
C2H4(50),[CH]C_m1
C3H6(43),C=CC_m1
H2(12),[H][H]_m1
H2O2(17),OO_m1
CH3O2H(54),COO_m1
OH(11),[OH]_m2
O(10),[O]_m3
H2O(13),O_m1
C3H7(39),[CH2]CC_m2
CH3O(29),C[O]_m2
C3H7O2(82),CCCO[O]_m2
CH2OH(34),[CH2]O_m2
CH2O2(42),[CH2]O[O]_m3
C1OO1(152),C1OO1_m1
CH2O2(173),[O]C[O]_m3
CH2O(23),C=O_m1
S(124),[CH2]CCOO_m2
CHO2(177),[O]C=O_m2
CO2(19),O=C=O_m1
HCO(20),[CH]=O_m2
CHO3(250),[O]OC=O_m2
CO(18),[C-]#[O+]_m1
S(221),[O]OCCCOO_m2
C3H6O(200),CC1CO1_m1
C3H6(93),C[C]C_m1
C2H3(31),[CH]=C_m2
S(458),C=CO[O]_m2
CH2CHO(36),[CH2]C=O_m2
S(431),[O]CCCO[O]_m3
S(496),[O]CCC=O_m2
S(495),[CH2]OCC=O_m2
C2H4O2(72),[CH2]CO[O]_m3
S(570),[O][CH]CCC=O_m3
S(383),[O]OCC=O_m2
O2(S)(579),O=O_m1
S(564),[CH2]C([O])CC=O_m3
CH3CO(35),C[C]=O_m2
S(563),[CH2][CH]OCC=O_m3
C2H5O(113),[CH2]CO_m2
S(168),[O]OCCO_m2
C2H6O2(58),CCOO_m1
C2H5O(73),CC[O]_m2
C3H6(79),[CH2]C[CH2]_m3
CH2CO(30),C=C=O_m1
S(684),C=C([O])CC=O_m2
S(645),[CH2]C(=O)O[O]_m3
OCCOO(604),OCCOO_m1
S(682),C=[C]OCC=O_m2
S(296),CC1OC1=O_m1
S(211),[O]CCO_m2
C2H4O(487),C=CO_m1
S(722),O=C1COO1_m1
S(318),[O]CC([O])=O_m3
S(511),[O]C(=O)CC=O_m2
CH3CHO(37),CC=O_m1
CH2O(119),[CH2][O]_m3
CHO3(310),[O]C(=O)O_m2
C3H7O(115),C[CH]CO_m2
S(1041),CC(CO)O[O]_m2
S(1060),CC([O])CC=O_m2
S(1059),C[CH]OCC=O_m2
S(510),O=[C]OCC=O_m2
HOCO(224),O=[C]O_m2
S(812),O[CH]CO_m2
S(1038),C=CCO_m1
C4H6O(660),C=C1OC1C_m1
C2H2O(484),[CH]=C[O]_m3
S(1191),C1=CO1_m1
S(362),O=CCO_m1
CH2O3(164),[O]CO[O]_m3
C4H6O(661),CC1CC1=O_m1
C2H2(26),C#C_m1
S(1224),[O]C(CO)CC=O_m2
S(1223),O=CCO[CH]CO_m2
CH2O3(249),O=COO_m1
C4H6(1279),CC1C=C1_m1
HCCO(24),C#C[O]_m2
S(1123),[CH2]C=CO_m2
S(1421),C=CC(O)O[O]_m2
S(1453),C=CC(O)C[O]_m2
S(1451),[O]CCC=CO_m2
C3H4O(392),C=CC=O_m1
S(1566),[CH2]C[C]=O_m3
S(1420),[O]OCC=CO_m2
C3H3O(467),C=C[C]=O_m2
C4H8O(810),CC1CC1O_m1
S(1303),O=C1CC1_m1
S(1688),[O]CCC=C=O_m2
C3H6O(118),C[CH]C[O]_m3
S(1037),CC=CO_m1
C3H6O(331),CCC=O_m1
S(1793),CC[CH]OC_m2
C3H5O(382),CC[C]=O_m2
S(517),O=[C]CC=O_m2
S(1678),[O]OCC=C=O_m2
CHO4(283),[O]C(=O)OO_m2
tSPC(1286),C=CC(=O)O[O]_m2
S(1861),C=CC(=O)OO_m1
S(1895),[CH2]C(O[O])C(=O)OO_m3
tSPC(1553),C=CC([O])=O_m2
S(1192),O=C[CH]O_m2
S(2033),[O]CC(O)C=O_m2
S(1998),[O]OC(O)C=O_m2
S(2144),CC([O])C(O)C=O_m2
S(366),O=CC=O_m1
S(2235),[O]C(C=O)CC=O_m2
S(2121),[O]C=COCC=O_m2
S(2288),[O]C(C=O)C(O)C=O_m2
S(2150),[O]C(CO)C(O)C=O_m2
CO3t1(312),[O]C([O])=O_m3
CO3(1850),O=C1OO1_m1
OCHCO(428),O=[C]C=O_m2
