,species,species_id
0,H(20),[H]_m2
1,O(21),[O]_m3
2,OH(22),[OH]_m2
3,H2(23),[H][H]_m1
4,H2O(24),O_m1
5,Ar(25),[Ar]_m1
6,He(26),[He]_m1
7,HO2(27),[O]O_m2
8,H2O2(28),OO_m1
9,CO(29),[C-]#[O+]_m1
10,CO2(30),O=C=O_m1
11,HCO(31),[CH]=O_m2
12,C(T)(32),[C]_m3
13,CH(33),[CH]_m2
14,CH2(T)(34),[CH2]_m3
15,CH3(35),[CH3]_m2
16,CH2O(36),C=O_m1
17,HCCO(37),C#C[O]_m2
18,C2H(38),[C]#C_m2
19,C2H2(39),C#C_m1
20,H2CC(40),[C]=C_m1
21,CH2(S)(41),[CH2]_m1
22,CH3OH(42),CO_m1
23,CH3O(43),C[O]_m2
24,CH2CO(44),C=C=O_m1
25,C2H3(45),[CH]=C_m2
26,C2H4(46),C=C_m1
27,CH4(47),C_m1
28,C2H6(48),CC_m1
29,C2H5(49),C[CH2]_m2
30,CH2OH(50),[CH2]O_m2
31,CH3CO(51),C[C]=O_m2
32,CH3CHO(52),CC=O_m1
33,N2,N#N_m1
34,Ne,[Ne]_m1
35,butane(1),CCCC_m1
36,O2(2),[O][O]_m3
37,butR1(3),[CH2]CCC_m2
38,butR2(4),C[CH]CC_m2
39,butROO1(5),CCCCO[O]_m2
40,butROO2(6),CCC(C)O[O]_m2
41,C4H9O2(7),C[CH]CCOO_m2
42,C4H9O2(8),[CH2]CC(C)OO_m2
43,C4H9O4(9),CC(CCOO)O[O]_m2
44,C4H9O4(10),CC(CCO[O])OO_m2
45,C4H8O3(11),CC(=O)CCOO_m1
46,C4H9O4(12),C[C](CCOO)OO_m2
47,C4H9O4(13),CC(C[CH]OO)OO_m2
48,C4H8O3(14),CC(CC=O)OO_m1
49,C4H7O2(15),CC([O])CC=O_m2
50,C4H7O2(16),CC(=O)CC[O]_m2
51,C3H5O(17),[CH2]C(C)=O_m2
52,C2H3O(18),[CH2]C=O_m2
53,C3H4O2(19),O=CCC=O_m1
54,C3H7(53),[CH2]CC_m2
