chemkin_index,string,reaction_id,ig_delay
1,H2+M<=>H+H+M ,[H][H]_m1>>[H]_m2.[H]_m2,1.47E-08
2,H2+O<=>H+OH,[H][H]_m1.[O]_m3>>[H]_m2.[OH]_m2,0.0000253
3,H2+OH<=>H+H2O,[H][H]_m1.[OH]_m2>>[H]_m2.O_m1,0.0000519
4,O+O+M<=>O2+M ,[O]_m3.[O]_m3>>[O][O]_m3,0.000000161
5,O2+H<=>O+OH,[O][O]_m3.[H]_m2>>[O]_m3.[OH]_m2,0.024623
6,H+OH+M<=>H2O+M ,[H]_m2.[OH]_m2>>O_m1,0.0000164
7,O+H2O<=>OH+OH,[O]_m3.O_m1>>[OH]_m2.[OH]_m2,0.00000665
8,O+H+M<=>OH+M ,[O]_m3.[H]_m2>>[OH]_m2,0.000000396
9,H+O+M<=>OHV+M ,,0.000000044
10,OHV+H2O<=>OH+H2O,,0.000000044
11,OHV+H2<=>OH+H2,,0.000000161
12,OHV+N2<=>OH+N2,,0.000000044
13,OHV+OH<=>OH+OH,,0.000000044
14,OHV+H<=>OH+H,,0.000000103
15,OHV+AR<=>OH+AR,,0.000000161
16,OHV<=>OH,,1.47E-08
17,OHV+O2<=>OH+O2,,0.000000161
18,OHV+CO2<=>OH+CO2,,0.000000103
19,OHV+CO<=>OH+CO,,0.000000161
20,OHV+CH4<=>OH+CH4,,1.47E-08
21,H2O2(+M)<=>OH+OH(+M),OO_m1>>[OH]_m2.[OH]_m2,0.52624
22,H2O2+H<=>H2O+OH,OO_m1.[H]_m2>>O_m1.[OH]_m2,0.0016791
23,H2O2+H<=>H2+HO2,OO_m1.[H]_m2>>[H][H]_m1.O[O]_m2,0.0027232
24,H2O2+O<=>OH+HO2,OO_m1.[O]_m3>>[OH]_m2.O[O]_m2,0.0013968
25,H2O2+OH<=>H2O+HO2,OO_m1.[OH]_m2>>O_m1.O[O]_m2,0.051322
26,H2O2+OH<=>H2O+HO2,OO_m1.[OH]_m2>>O_m1.O[O]_m2,0.055819
27,HO2+H<=>OH+OH,O[O]_m2.[H]_m2>>[OH]_m2.[OH]_m2,0.014348
28,HO2+H<=>H2+O2,O[O]_m2.[H]_m2>>[H][H]_m1.[O][O]_m3,0.0047738
29,HO2+O<=>OH+O2,O[O]_m2.[O]_m3>>[OH]_m2.[O][O]_m3,0.0036149
30,OH+HO2<=>H2O+O2,[OH]_m2.O[O]_m2>>O_m1.[O][O]_m3,0.06151
31,OH+HO2<=>H2O+O2,[OH]_m2.O[O]_m2>>O_m1.[O][O]_m3,0.0058829
32,HO2+HO2<=>H2O2+O2,O[O]_m2.O[O]_m2>>OO_m1.[O][O]_m3,0.13031
33,HO2+HO2<=>H2O2+O2,O[O]_m2.O[O]_m2>>OO_m1.[O][O]_m3,0.21839
34,H+O2(+M)<=>HO2(+M),[H]_m2.[O][O]_m3>>O[O]_m2,0.072397
35,CO+O(+M)<=>CO2(+M),[C]=O_m3.[O]_m3>>O=C=O_m1,0.0000217
36,CO+OH<=>CO2+H,[C]=O_m3.[OH]_m2>>O=C=O_m1.[H]_m2,0.00029907
37,CO+OH<=>CO2+H,[C]=O_m3.[OH]_m2>>O=C=O_m1.[H]_m2,0.0000153
38,CO+HO2<=>CO2+OH,[C]=O_m3.O[O]_m2>>O=C=O_m1.[OH]_m2,0.0013346
39,CO+O2<=>CO2+O,[C]=O_m3.[O][O]_m3>>O=C=O_m1.[O]_m3,0.00000272
