idx,string,reaction_id
1,H2+M<=>H+H+M ,[H][H]_m1>>[H]_m2.[H]_m2
2,H2+O<=>H+OH,[H][H]_m1.[O]_m3>>[H]_m2.[OH]_m2
3,H2+OH<=>H+H2O,[H][H]_m1.[OH]_m2>>[H]_m2.O_m1
4,O+O+M<=>O2+M ,[O]_m3.[O]_m3>>[O][O]_m3
5,O2+H<=>O+OH,[O][O]_m3.[H]_m2>>[O]_m3.[OH]_m2
6,H+OH+M<=>H2O+M ,[H]_m2.[OH]_m2>>O_m1
7,O+H2O<=>OH+OH,[O]_m3.O_m1>>[OH]_m2.[OH]_m2
8,O+H+M<=>OH+M ,[O]_m3.[H]_m2>>[OH]_m2
9,H+O+M<=>OHV+M ,
10,OHV+H2O<=>OH+H2O,
11,OHV+H2<=>OH+H2,
12,OHV+N2<=>OH+N2,
13,OHV+OH<=>OH+OH,
14,OHV+H<=>OH+H,
15,OHV+AR<=>OH+AR,
16,OHV<=>OH,
17,OHV+O2<=>OH+O2,
18,OHV+CO2<=>OH+CO2,
19,OHV+CO<=>OH+CO,
20,OHV+CH4<=>OH+CH4,
21,H2O2(+M)<=>OH+OH(+M),OO_m1>>[OH]_m2.[OH]_m2
22,H2O2+H<=>H2O+OH,OO_m1.[H]_m2>>O_m1.[OH]_m2
23,H2O2+H<=>H2+HO2,OO_m1.[H]_m2>>[H][H]_m1.O[O]_m2
24,H2O2+O<=>OH+HO2,OO_m1.[O]_m3>>[OH]_m2.O[O]_m2
25,H2O2+OH<=>H2O+HO2,OO_m1.[OH]_m2>>O_m1.O[O]_m2
26,H2O2+OH<=>H2O+HO2,OO_m1.[OH]_m2>>O_m1.O[O]_m2
27,HO2+H<=>OH+OH,O[O]_m2.[H]_m2>>[OH]_m2.[OH]_m2
28,HO2+H<=>H2+O2,O[O]_m2.[H]_m2>>[H][H]_m1.[O][O]_m3
29,HO2+O<=>OH+O2,O[O]_m2.[O]_m3>>[OH]_m2.[O][O]_m3
30,OH+HO2<=>H2O+O2,[OH]_m2.O[O]_m2>>O_m1.[O][O]_m3
31,OH+HO2<=>H2O+O2,[OH]_m2.O[O]_m2>>O_m1.[O][O]_m3
32,HO2+HO2<=>H2O2+O2,O[O]_m2.O[O]_m2>>OO_m1.[O][O]_m3
33,HO2+HO2<=>H2O2+O2,O[O]_m2.O[O]_m2>>OO_m1.[O][O]_m3
34,H+O2(+M)<=>HO2(+M),[H]_m2.[O][O]_m3>>O[O]_m2
35,CO+O(+M)<=>CO2(+M),[C]=O_m3.[O]_m3>>O=C=O_m1
36,CO+OH<=>CO2+H,[C]=O_m3.[OH]_m2>>O=C=O_m1.[H]_m2
